step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
17	ISS07	cupola	47.37	27.81	39.1	false	
17	ISS08	common_area	51.91	50.73	63.2	false	
17	ISS09	common_area	48.57	47.07	36.2	false	
18	ISS00	common_area	51.95	50.63	55.4	false	
18	ISS01	crew_quarters	25.96	33.08	63.8	true	
18	ISS02	common_area	48.92	54.33	72.8	false	
18	ISS03	common_area	54.76	46.91	62.2	false	
18	ISS04	common_area	47.99	49.64	36.0	false	
18	ISS05	common_area	51.96	52.6	63.9	false	
18	ISS06	common_area	50.47	45.56	52.3	false	
18	ISS07	cupola	47.86	28.61	45.3	false	
18	ISS08	common_area	52.04	50.07	61.0	false	
18	ISS09	common_area	47.7	47.7	35.1	false	
19	ISS00	common_area	52.05	49.96	47.7	false	
19	ISS01	crew_quarters	25.54	33.41	65.4	true	
19	ISS02	common_area	50.39	54.45	67.8	false	
19	ISS03	common_area	53.49	45.53	68.1	false	
19	ISS04	common_area	47.98	50.32	52.7	false	
19	ISS05	common_area	52.7	51.82	55.3	false	
19	ISS06	common_area	49.0	45.65	50.7	false	
19	ISS07	cupola	48.58	29.21	56.7	false	
19	ISS08	common_area	51.96	49.4	63.1	false	
19	ISS09	common_area	47.07	48.57	37.6	false	
20	ISS00	common_area	51.92	49.3	62.2	false	
20	ISS01	crew_quarters	25.25	33.86	65.2	true	
20	ISS02	common_area	51.82	54.08	60.9	false	CONF03
20	ISS03	common_area	51.85	44.64	58.7	false	
20	ISS04	common_area	48.19	50.96	52.6	false	
20	ISS05	common_area	53.14	50.84	68.5	false	CONF03
20	ISS06	common_area	47.63	46.21	40.7	false	
20	ISS07	cupola	49.46	29.53	38.7	false	
20	ISS08	common_area	51.66	48.8	59.6	false	
20	ISS09	common_area	46.77	49.6	51.4	false	
21	ISS00	common_area	51.59	48.71	47.8	false	
21	ISS01	crew_quarters	25.13	34.39	52.6	false	
21	ISS02	common_area	53.04	53.26	53.9	false	REPB03
21	ISS03	common_area	50.0	44.33	64.3	false	
21	ISS04	common_area	48.6	51.5	33.2	false	
21	ISS05	common_area	53.25	49.77	42.0	false	REPB03
21	ISS06	common_area	46.53	47.19	51.2	false	
21	ISS07	cupola	50.39	29.56	32.9	false	
21	ISS08	common_area	51.17	48.32	55.1	false	
21	ISS09	common_area	46.82	50.68	43.1	false	
22	ISS00	common_area	51.08	48.26	55.7	false	
22	ISS01	crew_quarters	25.18	34.92	51.1	false	
22	ISS02	common_area	53.94	52.1	66.7	false	REPB03
22	ISS03	common_area	48.15	44.64	68.5	false	
22	ISS04	common_area	49.17	51.87	35.9	false	
22	ISS05	common_area	53.0	48.73	49.9	false	REPB03
22	ISS06	cupola	47.9	25.99	38.6	false	
22	ISS07	cupola	51.29	29.28	37.9	false	
22	ISS08	common_area	50.56	48.03	54.7	false	
22	ISS09	common_area	47.21	51.68	49.8	false	
23	ISS00	common_area	50.46	48.01	60.5	false	
23	ISS01	crew_quarters	25.4	35.41	49.8	false	
23	ISS02	common_area	54.41	50.7	64.8	false	
23	ISS03	common_area	46.51	45.53	52.3	false	
23	ISS04	common_area	49.82	52.04	49.6	false	
23	ISS05	common_area	52.42	47.82	53.9	false	
23	ISS06	cupola	47.77	26.71	46.7	false	
23	ISS07	cupola	52.04	28.72	36.3	false	
23	ISS08	common_area	49.89	47.96	66.2	false	
23	ISS09	common_area	47.91	52.49	52.4	false	
24	ISS00	common_area	49.79	47.97	52.4	false	
24	ISS01	crew_quarters	25.77	35.8	44.0	false	
24	ISS02	common_area	54.4	49.22	54.1	false	
